Time: B1 x y phi phi dx dy dphi dphi d2x d2y d2phi d2phi J1 x y dx dy J2 x y dx dy B2 x y phi phi dx dy dphi dphi d2x d2y d2phi d2phi J1 x y dx dy Lam1 x y Lam2 x y K1 Lin Ang K2 Lin Ang Pot1 - Pot2 - Total Total
RK45  - - - (rad) (deg) dt dt dt(r) dt(d) dt2 dt2 dt2(r) dt2(d) - - - dt dt - - - dt dt  - - - (rad) (deg) dt dt dt(r) dt(d) dt2 dt2 dt2(r) dt2(d) - - - dt dt - - - - - - - Kin Kin - Kin Kin - - - - Kinet Poten
4 SimBody1 - - - - - - - - - - - - Joint001 - - - - Joint004 - - - - SimBody2 - - - - - - - - - - - - Joint004 - - - - SimBody1 - - SimBody2 - - SimBody1 - - SimBody2 - - SimBody1 - SimBody2 -  - - 
0.08 -   91.04049271 -248.07758979 -1.098196740722426 -62.92203831841776 -214.26304163 -109.53996488 -1.2032004839539323 -68.93830963865845 -2197.70054136  -798.37157357 -11.601134149926542 -664.6960243558809 -  4.56594762e-11 -7.00000005e+01 -1.74904358e-09  2.01298178e-09 -  182.08098524 -426.15518246 -428.52608731 -219.07992956 -  222.08479543 -488.01812279 2.144814526302567 122.88882019548798 -375.80317666 -184.98654019 0.8522535526455013 48.83053164161774 -4968.46111421 -1903.59112658 -8.793694215094622 -503.84156485352895 -  182.08098524 -426.15518246 -428.52608733 -219.07992954 - 0.7582502782777395 -1.846755295030094 - 0.5031304054451435 -0.8006412067360815 - 3.361102497834206 1.0230589145833955 - 8.88335898301448 0.03731636609832306 - 18.78466211537682 - 41.23490197008067 13.304836761530405 60.01956408545749 
0.09 -   88.79088064 -249.20987365 -1.110789303160599 -63.64353899938004 -235.36470632 -116.61321543 -1.3133467602454971 -75.249226399247 -2020.98754266  -616.31691785 -10.422606305095101 -597.1713528083906 - -1.89288585e-11 -7.00000005e+01  9.74864633e-12 -7.85149723e-11 -  177.58176106 -428.41975018 -470.72941707 -233.22643057 -  218.07763123 -489.96170916 2.1527892075901383 123.34573577622778 -425.69159244 -203.59061902 0.7318230581692184 41.93037258345316 -5005.57981987 -1819.47448798 -15.3052737556145 -876.9275904890538 -  177.58176106 -428.41975018 -470.72941707 -233.22643057 - 0.741495385146368 -1.8764071513316822 - 0.5068892251278739 -0.8091592644416916 - 4.004650087887213 1.2189431815486687 - 11.27393948092128 0.0275152765832959 - 17.4952252011949 - 39.304127619061376 16.525048026940457 56.799352820256274 
0.1 -   86.33923051 -250.4038153  -1.1244240018774192 -64.42474969078627 -254.65850152 -121.87668585 -1.4116026414834926 -80.87887370652278 -1836.9796904   -437.34404433 -9.228952505528342 -528.7800278934606 - -2.92601499e-11 -7.00000005e+01  2.34479103e-11 -1.17026389e-10 -  172.67846076 -430.80763347 -509.31700779 -243.75337134 -  213.57009771 -492.08733846 2.1592337613846264 123.71498150949697 -475.8394658  -221.41397703 0.5463071664318142 31.301094954293998 -5020.20053295 -1746.59516275 -21.76963728416066 -1247.3083379130453 -  172.67846076 -430.80763347 -509.31700779 -243.75337134 - 0.7216154140318026 -1.9045633145118066 - 0.5083697892565282 -0.8165393774402164 - 4.626266909379181 1.4081521185255559 - 13.946565335377688 0.015333295302967264 - 16.135572832321998 - 37.19251035636489 19.996317658585394 53.32808318868689 
0.11 -   83.70390207 -251.64155934 -1.1389817456811417 -65.2588469699723 -272.09639514 -125.38721952 -1.4979853556854363 -85.82823865317896 -1650.57493096  -266.46522758 -8.052929745743144 -461.39888714644127 - -3.61808361e-11 -7.00000005e+01  1.46769707e-10 -2.39708697e-10 -  167.40780384 -433.28312154 -544.19279531 -250.77443857 -  208.56072906 -494.38766279 2.163503720830169 123.95963216441855 -526.02176146 -238.53653968 0.29737616040950715 17.038398919270122 -5012.74562622 -1677.80801657 -27.951383707222842 -1601.4963179746014 -  167.40780384 -433.28312154 -544.19279532 -250.77443857 - 0.6992217141143193 -1.9313654859849478 - 0.5076148693402445 -0.823505096593959 - 5.209798137979605 1.585768488674185 - 16.890902643662045 0.004543327087331342 - 14.726038607151168 - 34.90734964275629 23.691012597403166 49.633388249907455 
0.12 -   80.90350091 -252.90604922 -1.1543451496318862 -66.13910517530456 -287.67603746 -127.24564726 -1.5728076760990226 -90.11524182625298 -1465.94926149  -107.44024201 -6.920582121155043 -396.5201473158789 - -3.28839178e-11 -7.00000005e+01  1.92699190e-11 -1.22568622e-10 -  161.80700146 -435.81210131 -575.35208019 -254.49129395 -  203.05024808 -496.85571542 2.164982603081477 124.04436587581533 -576.02956418 -254.94902633 -0.01109835971850486 -0.6358891713883289 -4985.8915345  -1602.62056895 -33.64787519419246 -1927.8812382101632 -  161.80700146 -435.81210131 -575.35208019 -254.49129395 - 0.6750700843905438 -1.9574397319964998 - 0.5048954941167136 -0.8311189412310983 - 5.743240473692704 1.7481387041971204 - 20.091402658143487 6.328186917920343e-06 - 13.286046400979728 - 32.455566282172356 27.582788164220226 45.741612683152084 
0.13 -   77.95646252 -254.18140312 -1.1704011334044542 -67.05904528140326 -301.43225886 -127.58395937 -1.6366052953869241 -93.77057615443218 -1286.36090651    37.24006591 -5.850516434332275 -335.20989965916664 - -3.30402372e-11 -7.00000005e+01  2.56932253e-11 -1.32985178e-10 -  155.91292463 -438.36280909 -602.86452319 -255.16791806 -  197.04130631 -499.48387286 2.163102110247893 123.93662157304637 -625.68825699 -270.5260152  -0.37341846475031626 -21.395302022447822 -4943.64373284 -1508.53201263 -38.696756217590604 -2217.1608121145687 -  155.91292463 -438.36280909 -602.8645232  -255.16791806 - 0.6499443693438434 -1.9837627950664474 - 0.5006172773635065 -0.8406468035608098 - 6.2186149247745455 1.8928341040727672 - 23.527371998967737 0.007163962152049533 - 11.833682335088895 - 29.844733522360514 31.645984989967097 41.67841585744941 
0.14 -   74.88072503 -255.45316477 -1.18704279399237 -68.01254219718003 -313.42843987 -126.55350969 -1.6900678997715377 -96.83375774744815 -1114.3176201   166.1458112 -4.855315352829119 -278.1890779221807 - -3.73034936e-11 -7.00000005e+01 -4.59863259e-11  8.36450909e-11 -  149.7614496  -440.90633239 -626.85688537 -253.10701859 -  190.53809294 -502.26261628 2.157358397232748 123.6075310585442 -674.86527479 -285.01281288 -0.7824526906023778 -44.831236840171854 -4890.21616195 -1382.40722847 -42.972226560170434 -2462.1272181777454 -  149.7614496  -440.90633239 -626.85688538 -253.10701858 - 0.6245624054052192 -2.01149881282426 - 0.49520694309986385 -0.8534188092852892 - 6.631535012393552 2.018519523343462 - 27.173175640772843 0.031454144758289136 - 10.385409092444775 - 27.08430743375112 35.854684321268145 37.469716526195896 
0.15 -   71.69347454 -256.70844923 -1.204170689306679 -68.99389831063183 -323.75112824 -124.31597727 -1.7339929200510065 -99.35047602448826 -952.04086064  278.58481169 -3.9445340645421423 -226.00515404384902 - -3.33955086e-11 -7.00000005e+01  5.97424332e-11 -2.17724505e-10 -  143.38694855 -443.4169013  -647.50226225 -248.63195362 -  183.54592271 -505.17922809 2.147324755609586 123.03264574039022 -723.4665771  -298.02531548 -1.2299458067980618 -70.47070375934189 -4828.92486794 -1211.68241758 -46.3727991760326 -2656.9656769944095 -  143.38694855 -443.4169013  -647.50226225 -248.63195362 - 0.5995178692404144 -2.0418397044097185 - 0.4890002901951493 -0.8707072294511071 - 6.980722924816395 2.124806019188379 - 30.998330014579864 0.07772015481449011 - 8.955899957906524 - 24.18692177618243 40.181579113399124 33.142821734088955 
0.16 -   68.41091761 -257.9360148  -1.2216938253046898 -69.99790004715163 -332.51025524 -121.03764017 -1.7692737416868771 -101.3719182019775 -802.09723279  374.28149539 -3.1284504805129245 -179.24700894906496 - -3.30544481e-11 -7.00000005e+01  6.93489710e-11 -3.07025516e-10 -  136.82183463 -445.87203243 -665.02051636 -242.0752793  -  176.07091227 -508.21654397 2.132661901941035 122.19252610956433 -771.42271023 -309.06093473 -1.706681009075155 -97.78561879513492 -4761.2267858  -985.3843609 -48.80476389074772 -2796.3069910723234 -  136.82183463 -445.87203243 -665.02051637 -242.07527929 - 0.5752562412113866 -2.0758646813163626 - 0.48214485493418496 -0.8936232653005411 - 7.26768046942909 2.2121507146604626 - 34.96733859162578 0.14964644923169085 - 7.557956901808836 - 21.169627720770393 44.59681622494702 28.72758462257923 
0.17 -   65.04801914 -259.1262925  -1.2395307145891747 -71.01987852279473 -339.84588237 -116.8864531  -1.7969256350164042 -102.95625498530534 -668.04791698  453.1494383  -2.421723855243724 -138.7545560516161 - -3.45465878e-11 -7.00000005e+01  9.66906555e-11 -4.35548486e-10 -  130.09603764 -448.25258782 -679.69177069 -233.77290504 -  168.11984091 -511.35186356 2.1131274884692064 121.07328666236506 -818.66623435 -317.51931266 -2.202473198280372 -126.19241875214544 -4685.95899517  -695.1010337  -50.165614417230834 -2874.2779827879613 -  130.09603764 -448.25258782 -679.69177069 -233.77290504 - 0.5520731576922222 -2.1144155533354647 - 0.4745228743763932 -0.9230187591468811 - 7.49662815277402 2.281838255748827 - 39.03926138448116 0.2492200443884348 - 6.202477013857049 - 18.05497599630587 49.06694783739244 24.25745301016292 
