0.0 178.28961313235015 -77.12925720214844 -2.6179938779914944 264.89215351079434 -127.12925720214847 3.141592653589793 264.8921535107945 -327.12925720214844 3.141592653589793 264.8921535107944 -500.7996590462784 1.5707963267948966 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.01 178.42979909329955 -77.37285615753987 -2.6208044455947723 264.9932760366748 -127.616296148879 3.139800157642241 264.8636901173121 -327.6161249897092 3.1420892883983007 264.8954928808872 -501.28651249867494 1.570553885963968 27.966610750374404 -48.75551117333967 -0.5620708312987233 20.174347736169484 -97.44703538839366 -0.3575894020913419 -5.677950118574061 -97.37813721230494 0.09906577321234228 0.6661047124896274 -97.37236386070688 -0.04835756437377818 
0.02 178.84610596646954 -78.10576356574737 -2.6292333714345886 265.2936193751945 -129.07973868166314 3.1344773955426835 264.7791849079112 -329.07701322896224 3.1435635082307116 264.9054047690424 -502.7471867860574 1.5698344006403666 55.080446308712325 -97.92771875873918 -1.1235520020347687 39.741436137543225 -195.3543625495404 -0.7042123755623841 -11.178734850192024 -194.81485639356214 0.19499323331252433 1.310960332975158 -194.76968236261354 -0.09514802924795644 
0.03 179.52563790044437 -79.33389708969564 -2.6432700355013865 265.7839521233309 -131.5261836724007 3.125789564953172 264.6412900515629 -331.51288245210947 3.145968554489925 264.92157325293783 -505.18217002943925 1.5686610627972206 80.46729100504027 -147.8775195171975 -1.683544479251367 58.07181694610838 -294.1313915252607 -1.0287490983154384 -16.324888587221775 -292.38323232097906 0.2846631960220969 1.913519729539745 -292.23687893828765 -0.13883015889786457 
0.04 180.44660439577112 -81.06679121302228 -2.662894065148902 266.44867103384905 -134.96634930047048 3.114014692703065 264.4544743768012 -334.92546433959836 3.149225407232559 264.94346366987725 -508.5924472656764 1.5670732623550832 103.20637558467197 -198.86909287931627 -2.240553330234609 74.49093597303848 -394.10061747849727 -1.3197165420037487 -20.936673686764067 -390.18455791257327 0.3649526270529242 2.4528154474544666 -389.857282351942 -0.17788428553352598 
0.05 181.57777503750734 -83.31539532805922 -2.68806477800673 267.26504956768383 -139.4130309025062 3.0995460964428188 264.22493694292615 -339.3177536301895 3.1532260647907173 264.9703501216756 -512.9801941788281 1.5651237071477335 122.34253391261846 -251.00888591922921 -2.792356871672869 88.27281063558661 -495.43766477019665 -1.5655121872399467 -24.841872831847887 -488.3539687984287 0.43300513282891767 2.910090352398867 -487.762230786553 -0.21101909185942264 
0.06 182.8782408416144 -86.0905700860963 -2.718714512707773 268.2027933470874 -144.87969243112482 3.082892823386494 263.9605131663328 -344.6943117088842 3.1578367213308365 265.0013416305665 -518.3492129935839 1.5628757370051645 136.90595638788915 -304.21636367354796 -3.3360278920196884 98.64576545951378 -598.1407748057611 -1.754681154378901 -27.883598281888418 -587.0588945422489 0.486431939181302 3.2703534388957705 -586.130530406275 -0.23731891073934996 
0.07 184.29745778981575 -89.40224154935402 -2.7547462272023546 269.22391894668823 -151.37964754749822 3.0646777086298473 263.6705875055995 -351.0613748453577 3.162900187954497 265.0354011794525 -524.7051031072033 1.5604014800559936 145.9295790721383 -358.21968073809626 -3.8680309773200765 104.80239925529192 -702.0241472184756 -1.87611043565953 -29.92462904360493 -686.4938523234491 0.5234160308892214 3.5231665677205 -685.1825123053674 -0.2563167017100969 
0.08 185.77536885918028 -93.25606481371133 -2.7960236533314715 270.2821138941073 -158.92284222396043 3.0456299654980983 263.36569956159957 -358.4272971082137 3.1682471753311052 265.0714353298055 -532.0559379955308 1.5577730766690394 148.52215566318233 -412.54444438979664 -4.384653789355346 105.94361049832514 -806.6969033243047 -1.9198355037744883 -30.86478981888316 -786.8576871605271 0.5431158220842114 3.6656751495878686 -785.153126473137 -0.268269345724999 
0.09 187.2438890970608 -97.65217907157826 -2.842377204662612 271.3236276409937 -167.5144189124866 3.0265685575512786 263.0571912388115 -366.80219207175793 3.173704582603683 265.10835626705244 -540.4119259901267 1.555056977189053 143.92871803691395 -466.5787844811755 -4.882737657281497 101.35139341187518 -911.6120723323975 -1.8774623902322485 -30.636790279588332 -888.3155168174476 0.54545969745742 3.700764382956761 -886.246850670258 -0.27396081360509206 
